"datetime","mean_vo2_bevanEq2","m_heartrate_bpm","mean_odba","mean_vesba","mean_arcdeg","mean_arcrate","number_flaps","percent_segment_soar","percent_segment_flap","percent_segment_water","number_Landings","species","birdid","mass_kg","sex","percent_segment_flight","percent_flighttime_soar","percent_flighttime_flap"
2020-01-14 14:12:55,34.42,22.81,0.39,0.94,45.24,23,307,16.67,40,43.33,2,"BBAL","BBAL_100",3.04,"Female",56.67,0.29,0.71
2020-01-14 14:42:55,46.3,137.67,0.44,0.99,78.18,16,584,3.33,50,46.67,2,"BBAL","BBAL_100",3.04,"Female",53.33,0.06,0.94
2020-01-14 15:12:55,46.81,146.08,0.37,0.99,47.1,18,433,3.33,31.67,65,2,"BBAL","BBAL_100",3.04,"Female",35,0.1,0.9
2020-01-14 15:42:55,48.31,151.53,0.31,0.98,NA,NA,153,0,20,80,2,"BBAL","BBAL_100",3.04,"Female",20,0,1
2020-01-14 16:12:55,48.79,150.73,0.33,0.97,NA,NA,159,0,8.33,91.67,2,"BBAL","BBAL_100",3.04,"Female",8.33,0,1
2020-01-14 16:42:55,46.61,142.5,0.38,1.02,87.16,14,1139,1.67,90,8.33,1,"BBAL","BBAL_100",3.04,"Female",91.67,0.02,0.98
2020-01-14 17:12:55,42.49,140.89,0.43,1.05,NA,NA,1224,0,90,10,1,"BBAL","BBAL_100",3.04,"Female",90,0,1
2020-01-14 17:42:55,43.62,142.18,0.41,1.17,84.1,16.57,502,35,45,20,1,"BBAL","BBAL_100",3.04,"Female",80,0.44,0.56
2020-01-14 18:12:55,35.99,130.18,0.28,1,NA,NA,101,0,6.67,93.33,1,"BBAL","BBAL_100",3.04,"Female",6.67,0,1
2020-01-14 18:42:55,32.61,122.53,0.25,0.99,NA,NA,19,0,1.67,98.33,2,"BBAL","BBAL_100",3.04,"Female",1.67,0,1
2020-01-14 19:12:55,35.16,126.89,0.28,1,61.85,22,121,1.67,6.67,91.67,1,"BBAL","BBAL_100",3.04,"Female",8.34,0.2,0.8
2020-01-14 19:42:55,40.19,132.82,0.38,1.14,87.88,15.83,481,20,51.67,28.33,2,"BBAL","BBAL_100",3.04,"Female",71.67,0.28,0.72
2020-01-14 20:12:55,37.69,128,0.43,1.22,105.51,16.89,609,30,70,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.3,0.7
2020-01-14 20:42:55,38.63,129.73,0.44,1.27,88.02,17.56,465,53.33,46.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.53,0.47
2020-01-14 21:12:55,51.22,142.67,0.49,1.06,78.1,18,636,8.33,38.33,53.33,4,"BBAL","BBAL_100",3.04,"Female",46.66,0.18,0.82
2020-01-14 21:42:55,56.32,156.04,0.26,0.99,NA,NA,48,0,1.67,98.33,2,"BBAL","BBAL_100",3.04,"Female",1.67,0,1
2020-01-14 22:12:55,57.04,165.13,0.25,0.99,NA,NA,122,0,5,95,2,"BBAL","BBAL_100",3.04,"Female",5,0,1
2020-01-14 22:42:55,58.14,166.24,0.29,0.98,NA,NA,82,0,3.33,96.67,2,"BBAL","BBAL_100",3.04,"Female",3.33,0,1
2020-01-14 23:12:55,63.87,176.7,0.28,0.99,NA,NA,233,0,10,90,3,"BBAL","BBAL_100",3.04,"Female",10,0,1
2020-01-14 23:42:55,55.85,169.17,0.26,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 00:12:55,46.03,152.67,0.27,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 00:42:55,43.09,145.77,0.26,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 01:12:55,38.86,136.97,0.27,0.98,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 01:42:55,35.57,129.8,0.27,0.98,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 02:12:55,34.42,127.17,0.27,0.98,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 02:42:55,32.21,122.27,0.28,0.98,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 03:12:55,31.08,119.13,0.28,0.98,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 03:42:55,30.2,117.27,0.27,0.98,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 04:12:55,26.96,109.07,0.27,0.98,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 04:42:55,32.84,120.78,0.28,0.98,NA,NA,78,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 05:12:55,47,146.88,0.3,1,16.98,13.5,285,20,20,60,2,"BBAL","BBAL_100",3.04,"Female",40,0.5,0.5
2020-01-15 05:42:55,38.73,132.97,0.24,0.99,14.14,17.75,10,26.67,1.67,71.67,2,"BBAL","BBAL_100",3.04,"Female",28.34,0.94,0.06
2020-01-15 06:12:55,37.51,132.63,0.37,1.01,16.6,15.33,808,10,40,50,3,"BBAL","BBAL_100",3.04,"Female",50,0.2,0.8
2020-01-15 06:42:55,36.66,131.53,0.23,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-15 07:12:55,31.1,118.33,0.24,0.99,14.13,29,2,3.33,0,96.67,2,"BBAL","BBAL_100",3.04,"Female",3.33,1,0
2020-01-15 07:42:55,31.72,118.98,0.25,0.99,NA,NA,34,0,3.33,96.67,2,"BBAL","BBAL_100",3.04,"Female",3.33,0,1
2020-01-15 08:12:55,30.69,117.02,0.27,0.99,NA,NA,161,0,10,90,2,"BBAL","BBAL_100",3.04,"Female",10,0,1
2020-01-15 08:42:55,39.1,134.5,0.41,1.12,79.89,17.33,693,5,61.67,33.33,1,"BBAL","BBAL_100",3.04,"Female",66.67,0.07,0.93
2020-01-15 09:12:55,31.6,119.88,0.29,1.02,89.8,12,215,3.33,16.67,80,1,"BBAL","BBAL_100",3.04,"Female",20,0.17,0.83
2020-01-15 09:42:55,27.14,108.9,0.24,0.99,NA,NA,27,0,1.67,98.33,1,"BBAL","BBAL_100",3.04,"Female",1.67,0,1
2020-01-15 10:12:55,35.02,125.44,0.36,1.15,76.62,17.89,248,31.67,30,38.33,1,"BBAL","BBAL_100",3.04,"Female",61.67,0.51,0.49
2020-01-15 10:42:55,36.93,126.92,0.42,1.25,83.06,18.59,309,56.67,31.67,11.67,1,"BBAL","BBAL_100",3.04,"Female",88.34,0.64,0.36
2020-01-15 11:12:55,35.52,124.17,0.42,1.27,85.15,16.81,202,78.33,21.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.78,0.22
2020-01-15 11:42:55,35.94,124.69,0.41,1.27,80.71,15.54,156,86.67,13.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.87,0.13
2020-01-15 12:12:55,36.72,127.31,0.41,1.15,69.46,20.11,561,31.67,50,18.33,2,"BBAL","BBAL_100",3.04,"Female",81.67,0.39,0.61
2020-01-15 12:42:55,37.27,126.93,0.42,1.24,73.25,17.66,432,48.33,51.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.48,0.52
2020-01-15 13:12:55,35.7,125.6,0.45,1.25,77.15,17.32,373,63.33,36.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.63,0.37
2020-01-15 13:42:55,42.5,141.74,0.34,1.11,72.37,15.18,184,36.67,23.33,40,4,"BBAL","BBAL_100",3.04,"Female",60,0.61,0.39
2020-01-15 14:12:55,37.73,129.35,0.37,1.18,76.23,14.2,183,50,21.67,28.33,1,"BBAL","BBAL_100",3.04,"Female",71.67,0.7,0.3
2020-01-15 14:42:55,36.68,129.11,0.37,1.14,72.04,14.74,393,45,36.67,18.33,2,"BBAL","BBAL_100",3.04,"Female",81.67,0.55,0.45
2020-01-15 15:12:55,37.3,128.62,0.38,1.16,86.13,15.07,595,50,50,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.5,0.5
2020-01-15 15:42:55,38,127.33,0.33,1.12,78.19,14,322,46.67,53.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.47,0.53
2020-01-15 16:12:55,38.33,130.29,0.38,1.11,75.68,13,630,33.33,65,1.67,1,"BBAL","BBAL_100",3.04,"Female",98.33,0.34,0.66
2020-01-15 16:42:55,48.04,143.68,0.46,0.96,NA,NA,403,0,33.33,66.67,5,"BBAL","BBAL_100",3.04,"Female",33.33,0,1
2020-01-15 17:12:55,58.6,155.11,0.4,1.05,54.82,17,948,3.33,75,21.67,1,"BBAL","BBAL_100",3.04,"Female",78.33,0.04,0.96
2020-01-15 17:42:55,48.98,152.62,0.37,1.1,75.3,15.78,613,15,61.67,23.33,1,"BBAL","BBAL_100",3.04,"Female",76.67,0.2,0.8
2020-01-15 18:12:55,37.61,126,0.44,1.15,67.93,17,860,3.33,96.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.03,0.97
2020-01-15 18:42:55,36.31,124.55,0.47,1.22,94.12,16.35,726,28.33,71.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.28,0.72
2020-01-15 19:12:55,35.97,124.5,0.47,1.3,73.08,16.21,323,63.33,36.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.63,0.37
2020-01-15 19:42:55,38.15,126.64,0.46,1.29,82.88,15.41,228,73.33,21.67,5,1,"BBAL","BBAL_100",3.04,"Female",95,0.77,0.23
2020-01-15 20:12:55,36.09,124.95,0.46,1.3,76.48,17.11,342,63.33,36.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.63,0.37
2020-01-15 20:42:55,36.07,125.07,0.44,1.3,77.29,17.32,235,73.33,26.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.73,0.27
2020-01-15 21:12:55,36.33,124.57,0.46,1.28,77.01,17.19,452,53.33,46.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.53,0.47
2020-01-15 21:42:55,41.58,130.57,0.48,1.12,91.27,25.2,1249,8.33,91.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.08,0.92
2020-01-15 22:12:55,34.35,123,0.42,1.05,NA,NA,1105,0,100,0,0,"BBAL","BBAL_100",3.04,"Female",100,0,1
2020-01-15 22:42:55,38.47,129.75,0.37,1.05,49.54,13.2,848,8.33,91.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.08,0.92
2020-01-15 23:12:55,36.71,124.44,0.35,1.03,50.29,14,588,18.33,81.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.18,0.82
2020-01-15 23:42:55,37.98,126.8,0.43,1.09,69.74,14,914,8.33,91.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.08,0.92
2020-01-16 00:12:55,38.5,132.57,0.37,1.09,84.88,17.2,380,8.33,48.33,43.33,1,"BBAL","BBAL_100",3.04,"Female",56.66,0.15,0.85
2020-01-16 00:42:55,24.91,104.37,0.26,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-16 01:12:55,21.73,96.43,0.26,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-16 01:42:55,21.37,95.6,0.26,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-16 02:12:55,19.65,93.33,0.25,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-16 02:42:55,20.35,94.78,0.25,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-16 03:12:55,36.45,126.67,0.29,1,17.21,19.33,308,30,16.67,53.33,2,"BBAL","BBAL_100",3.04,"Female",46.67,0.64,0.36
2020-01-16 03:42:55,27.04,108.54,0.25,0.99,24.74,31.6,0,8.33,0,91.67,1,"BBAL","BBAL_100",3.04,"Female",8.33,1,0
2020-01-16 04:12:55,24.17,101.57,0.24,0.99,14.64,32.4,0,16.67,0,83.33,1,"BBAL","BBAL_100",3.04,"Female",16.67,1,0
2020-01-16 04:42:55,42.48,133.44,0.3,1.04,64.23,14.33,322,30,48.33,21.67,1,"BBAL","BBAL_100",3.04,"Female",78.33,0.38,0.62
2020-01-16 05:12:55,36.08,124.29,0.31,1.05,52.42,13.58,547,31.67,68.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.32,0.68
2020-01-16 05:42:55,35.73,125.78,0.3,1.05,55.96,13.52,416,41.67,58.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.42,0.58
2020-01-16 06:12:55,34.12,122.81,0.27,1.04,53.9,12.74,369,45,51.67,3.33,1,"BBAL","BBAL_100",3.04,"Female",96.67,0.47,0.53
2020-01-16 06:42:55,34.76,122.53,0.28,1.05,48.97,13.14,388,46.67,53.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.47,0.53
2020-01-16 07:12:55,34.3,122.69,0.31,1.11,72.99,15.81,108,86.67,10,3.33,1,"BBAL","BBAL_100",3.04,"Female",96.67,0.9,0.1
2020-01-16 07:42:55,42.72,135.05,0.33,1.09,67.91,15.59,320,65,28.33,6.67,1,"BBAL","BBAL_100",3.04,"Female",93.33,0.7,0.3
2020-01-16 08:12:55,36.5,126.12,0.28,1.05,50.95,13.84,273,61.67,38.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.62,0.38
2020-01-16 08:42:55,45.96,139.57,0.31,1.04,51.86,13.58,352,55,30,15,3,"BBAL","BBAL_100",3.04,"Female",85,0.65,0.35
2020-01-16 09:12:55,48.67,142.19,0.41,1.04,63.78,18.83,584,20,66.67,13.33,1,"BBAL","BBAL_100",3.04,"Female",86.67,0.23,0.77
2020-01-16 09:42:55,41.99,134.27,0.42,1.09,69.67,17.12,394,41.67,58.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.42,0.58
2020-01-16 10:12:55,42.84,134,0.37,1.1,68.88,15.69,232,75,25,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.75,0.25
2020-01-16 10:42:55,41.96,132.18,0.3,1.09,63.85,14.59,93,90,10,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.9,0.1
2020-01-16 11:12:55,53.45,142.74,0.34,1.03,62.76,15.25,291,40,20,40,5,"BBAL","BBAL_100",3.04,"Female",60,0.67,0.33
2020-01-16 11:42:55,60.65,158.61,0.28,1.02,60.96,13.89,163,30,6.67,63.33,4,"BBAL","BBAL_100",3.04,"Female",36.67,0.82,0.18
2020-01-16 12:12:55,62.67,154.81,0.25,0.99,76.31,12,82,5,1.67,93.33,3,"BBAL","BBAL_100",3.04,"Female",6.67,0.75,0.25
2020-01-16 12:42:55,52.61,144.67,0.27,1.03,65.31,13.55,191,36.67,10,53.33,7,"BBAL","BBAL_100",3.04,"Female",46.67,0.79,0.21
2020-01-16 13:12:55,44.76,137.32,0.24,1.01,62.34,14.8,24,16.67,1.67,81.67,2,"BBAL","BBAL_100",3.04,"Female",18.34,0.91,0.09
2020-01-16 13:42:55,48.97,141.26,0.27,1.05,60.73,14.45,16,66.67,0,33.33,1,"BBAL","BBAL_100",3.04,"Female",66.67,1,0
2020-01-16 14:12:55,47.5,139.38,0.27,1.08,60.96,14.21,26,93.33,1.67,5,1,"BBAL","BBAL_100",3.04,"Female",95,0.98,0.02
2020-01-16 14:42:55,41.71,132.31,0.36,1.07,68.75,17,181,63.33,21.67,15,3,"BBAL","BBAL_100",3.04,"Female",85,0.75,0.25
2020-01-16 15:12:55,39.7,130.91,0.4,1.06,65.05,19.03,186,55,21.67,23.33,4,"BBAL","BBAL_100",3.04,"Female",76.67,0.72,0.28
2020-01-16 15:42:55,35.54,123,0.4,1.1,68.32,18,93,71.67,11.67,16.67,2,"BBAL","BBAL_100",3.04,"Female",83.34,0.86,0.14
2020-01-16 16:12:55,37.39,127.78,0.39,1.13,71.1,16.64,21,83.33,1.67,15,1,"BBAL","BBAL_100",3.04,"Female",85,0.98,0.02
2020-01-16 16:42:55,36.61,126.43,0.42,1.2,75.68,16.73,17,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-16 17:12:55,37.68,127.07,0.45,1.22,77.26,15.7,2,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-16 17:42:55,37.82,126.73,0.46,1.19,77.39,16.69,13,86.67,0,13.33,1,"BBAL","BBAL_100",3.04,"Female",86.67,1,0
2020-01-16 18:12:55,38.46,129.15,0.5,1.23,73.56,16.17,19,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-16 18:42:55,37.2,126.24,0.5,1.17,62.3,18.53,10,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-16 19:12:55,37.62,126.93,0.5,1.2,69.71,17.73,17,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-16 19:42:55,37.01,123.64,0.51,1.09,NA,NA,18,98.33,1.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.98,0.02
2020-01-16 20:12:55,36.87,125.69,0.5,1.17,65.72,16.29,23,93.33,0,6.67,1,"BBAL","BBAL_100",3.04,"Female",93.33,1,0
2020-01-16 20:42:55,37.46,126.93,0.43,1.17,68.81,15.56,13,98.33,0,1.67,1,"BBAL","BBAL_100",3.04,"Female",98.33,1,0
2020-01-16 21:12:55,35.36,125,0.36,1.04,55.72,16.16,34,41.67,1.67,56.67,4,"BBAL","BBAL_100",3.04,"Female",43.34,0.96,0.04
2020-01-16 21:42:55,37.82,126.5,0.34,1.07,55.21,17.7,29,66.67,3.33,30,3,"BBAL","BBAL_100",3.04,"Female",70,0.95,0.05
2020-01-16 22:12:55,38.09,127.45,0.42,1.17,61.34,15.2,7,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-16 22:42:55,37.41,126.29,0.44,1.21,67.82,15.38,76,91.67,8.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.92,0.08
2020-01-16 23:12:55,36.42,125.14,0.45,1.21,69.77,15.38,95,91.67,8.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.92,0.08
2020-01-16 23:42:55,36,124.53,0.44,1.22,72.64,15.75,65,95,5,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.95,0.05
2020-01-17 00:12:55,37.35,125.71,0.43,1.07,68.42,17.44,93,41.67,3.33,55,1,"BBAL","BBAL_100",3.04,"Female",45,0.93,0.07
2020-01-17 00:42:55,37.1,126.63,0.36,1.09,74.98,14.75,62,53.33,6.67,40,2,"BBAL","BBAL_100",3.04,"Female",60,0.89,0.11
2020-01-17 01:12:55,35.24,122,0.27,0.99,NA,NA,9,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-17 01:42:55,33.24,117,0.26,0.99,89.1,22,23,1.67,1.67,96.67,1,"BBAL","BBAL_100",3.04,"Female",3.34,0.5,0.5
2020-01-17 02:12:55,38.08,127.66,0.34,1.11,76.46,15.19,31,78.33,3.33,18.33,1,"BBAL","BBAL_100",3.04,"Female",81.66,0.96,0.04
2020-01-17 02:42:55,37.52,128.53,0.28,1.05,84.35,15.26,31,31.67,5,63.33,1,"BBAL","BBAL_100",3.04,"Female",36.67,0.86,0.14
2020-01-17 03:12:55,38.26,128.65,0.37,1.11,73.27,15.33,61,65,3.33,31.67,1,"BBAL","BBAL_100",3.04,"Female",68.33,0.95,0.05
2020-01-17 03:42:55,37.45,127.2,0.44,1.18,76.31,14.93,33,96.67,3.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.97,0.03
2020-01-17 04:12:55,37.09,126.55,0.45,1.19,71.73,15.57,2,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 04:42:55,36.2,124.08,0.51,1.17,67.88,16.04,174,78.33,11.67,10,2,"BBAL","BBAL_100",3.04,"Female",90,0.87,0.13
2020-01-17 05:12:55,37.27,126.51,0.43,1.13,69.11,16.71,23,70,0,30,1,"BBAL","BBAL_100",3.04,"Female",70,1,0
2020-01-17 05:42:55,36.38,125.22,0.45,1.18,67.72,16.77,82,95,5,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.95,0.05
2020-01-17 06:12:55,36.78,125.06,0.43,1.16,65.77,16.41,62,96.67,3.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.97,0.03
2020-01-17 06:42:55,37.49,125.84,0.44,1.17,70.37,15.69,46,98.33,1.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.98,0.02
2020-01-17 07:12:55,35.2,122.42,0.45,1.18,68.04,17.32,61,93.33,6.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.93,0.07
2020-01-17 07:42:55,36.11,124.75,0.44,1.2,77.43,16.82,71,93.33,6.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.93,0.07
2020-01-17 08:12:55,36.71,124.53,0.41,1.09,65.7,18.26,52,63.33,1.67,35,2,"BBAL","BBAL_100",3.04,"Female",65,0.97,0.03
2020-01-17 08:42:55,NA,NA,0.23,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-17 09:12:55,NA,NA,0.23,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-17 09:42:55,NA,NA,0.26,0.99,NA,NA,12,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-17 10:12:55,37.01,125.52,0.41,1.16,75.96,16.14,4,98.33,0,1.67,1,"BBAL","BBAL_100",3.04,"Female",98.33,1,0
2020-01-17 10:42:55,35.83,124.05,0.41,1.21,74.97,15.1,0,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 11:12:55,36.45,125.21,0.41,1.2,77.66,15.13,4,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 11:42:55,35.29,123.58,0.43,1.22,81.69,16.4,0,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 12:12:55,35.12,124.5,0.46,1.08,65.24,20.16,523,41.67,38.33,20,2,"BBAL","BBAL_100",3.04,"Female",80,0.52,0.48
2020-01-17 12:42:55,35.67,123.82,0.41,1,46.21,23.09,221,36.67,16.67,46.67,3,"BBAL","BBAL_100",3.04,"Female",53.34,0.69,0.31
2020-01-17 13:12:55,36.72,125.16,0.44,1.19,81.71,17.5,116,80,8.33,11.67,1,"BBAL","BBAL_100",3.04,"Female",88.33,0.91,0.09
2020-01-17 13:42:55,36.98,126.79,0.46,1.17,67.81,15.77,8,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 14:12:55,37.12,125.47,0.43,1.16,64,15.48,30,96.67,3.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.97,0.03
2020-01-17 14:42:55,35.83,124.76,0.46,1.17,68.45,16.5,246,80,20,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.8,0.2
2020-01-17 15:12:55,37.11,125,0.44,1.18,NA,NA,81,95,5,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.95,0.05
2020-01-17 15:42:55,37.3,126.45,0.4,1.17,65.25,15.9,24,98.33,1.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.98,0.02
2020-01-17 16:12:55,37.94,126.81,0.39,1.17,64.49,17.07,40,93.33,5,1.67,1,"BBAL","BBAL_100",3.04,"Female",98.33,0.95,0.05
2020-01-17 16:42:55,36.89,125.9,0.35,1.08,67.98,16.22,81,60,5,35,2,"BBAL","BBAL_100",3.04,"Female",65,0.92,0.08
2020-01-17 17:12:55,37.73,126.92,0.34,1.15,67.23,14.92,15,98.33,1.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.98,0.02
2020-01-17 17:42:55,36.8,125.27,0.33,1.08,67.67,15.45,8,55,0,45,2,"BBAL","BBAL_100",3.04,"Female",55,1,0
2020-01-17 18:12:55,36.34,126,0.31,1.01,62.1,15.4,7,16.67,1.67,81.67,2,"BBAL","BBAL_100",3.04,"Female",18.34,0.91,0.09
2020-01-17 18:42:55,NA,NA,0.28,0.99,25.55,27.11,15,15,0,85,2,"BBAL","BBAL_100",3.04,"Female",15,1,0
2020-01-17 19:12:55,37.45,127.17,0.36,1.14,68.44,14.53,7,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 19:42:55,38.01,127.24,0.34,1.16,69.83,14.4,7,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 20:12:55,36.17,123,0.32,1.03,79.45,16.88,16,26.67,0,73.33,1,"BBAL","BBAL_100",3.04,"Female",26.67,1,0
2020-01-17 20:42:55,36.26,125.43,0.37,1.17,75.22,15.37,3,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 21:12:55,37.34,127.26,0.38,1.18,76.35,17,0,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 21:42:55,37.28,128.08,0.37,1.19,82.95,18.4,2,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 22:12:55,39.11,131.52,0.34,1.15,79.01,16.93,2,100,0,0,0,"BBAL","BBAL_100",3.04,"Female",100,1,0
2020-01-17 22:42:55,36.86,128.25,0.34,1.11,69.81,18.38,61,78.33,5,16.67,2,"BBAL","BBAL_100",3.04,"Female",83.33,0.94,0.06
2020-01-17 23:12:55,41.41,131.3,0.32,1.13,73.48,16.68,85,88.33,11.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.88,0.12
2020-01-17 23:42:55,46.26,138.25,0.29,1.09,55.25,15.09,32,95,5,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.95,0.05
2020-01-18 00:12:55,41.01,130,0.33,1.14,59.87,14.94,186,85,15,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.85,0.15
2020-01-18 00:42:55,38.46,125.78,0.37,1.17,81.66,14.22,313,61.67,38.33,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.62,0.38
2020-01-18 01:12:55,34.84,120.4,0.36,1.17,70.82,15.32,94,93.33,6.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.93,0.07
2020-01-18 01:42:55,46.66,135,0.36,1.14,74.87,17.12,342,68.33,31.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.68,0.32
2020-01-18 02:12:55,53.98,156.18,0.34,1.09,81.1,16.17,285,38.33,28.33,33.33,1,"BBAL","BBAL_100",3.04,"Female",66.66,0.58,0.42
2020-01-18 02:42:55,44.78,146.57,0.27,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-18 03:12:55,35.31,128.87,0.25,0.99,NA,NA,0,0,0,100,1,"BBAL","BBAL_100",3.04,"Female",0,0,0
2020-01-18 03:42:55,47.2,142.65,0.31,1.01,32.03,26.29,163,11.67,13.33,75,2,"BBAL","BBAL_100",3.04,"Female",25,0.47,0.53
2020-01-18 04:12:55,36.86,122.67,0.37,1.13,68.28,15.23,552,43.33,56.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.43,0.57
2020-01-18 04:42:55,37.86,126.2,0.39,1.18,80.23,17.33,281,75,25,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.75,0.25
2020-01-18 05:12:55,36.63,126.5,0.37,1.17,73.59,16.21,248,78.33,21.67,0,0,"BBAL","BBAL_100",3.04,"Female",100,0.78,0.22
